caste1,degree,employed1,income1,mother1,occupation,religion1,account
Punjabi,B.Com (Commerce),MNC,INR 2 lakhs to 3 lakhs,Hindi,Customer Service/Call Centre/BPO,Hindu,real
Jatav,M.Lib.Sc. (Library Sciences),Central Government,INR 2 lakhs to 3 lakhs,Hindi,Defence,Hindu,real
Rajput,10th,Central Government,INR 2 lakhs to 3 lakhs,Hindi,Defence,Hindu,real
Vishwakarma,M.Phil. (Philosophy),State Government,INR 2 lakhs to 3 lakhs,Hindi,Education/Training,Hindu,real
Baniya,MBA/PGDM,Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Education/Training,Hindu,real
Brahmin,BE B.Tech (Engineering),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Education/Training,Hindu,real
Kurmi,M.Sc. (Science),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Education/Training,Hindu,real
Brahmin - Gaur,Engineering,Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Education/Training,Hindu,real
Pasi,BE B.Tech (Engineering),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Education/Training,Hindu,real
Brahmin - Saryuparin,MCA/PGDCA,Central Government,INR 2 lakhs to 3 lakhs,Hindi,Education/Training,Hindu,real
Brahmin - Garhwali,MA (Arts),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Education/Training,Hindu,real
Brahmin,M.Ed. (Education),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Education/Training,Hindu,real
Brahmin,MBA/PGDM,State Government,INR 2 lakhs to 3 lakhs,Hindi,Education/Training,Hindu,real
Kayastha,MBA/PGDM,Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Education/Training,Hindu,real
Mahajan,M.Com. (Commerce),Others,INR 2 lakhs to 3 lakhs,Hindi,Education/Training,Hindu,real
Brahmin - Kanyakubj,Ph.D. (Doctorate),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Education/Training,Hindu,real
Brahmin - Gaur,PG Diploma,State Government,INR 2 lakhs to 3 lakhs,Hindi,Education/Training,Hindu,real
Rajput,BE B.Tech (Engineering),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Electronics,Hindu,real
Rajput,Master of Fashion Technology,MNC,INR 2 lakhs to 3 lakhs,Hindi,Electronics,Hindu,real
Nai,MA (Arts),State Government,INR 2 lakhs to 3 lakhs,Hindi,Electronics,Hindu,real
Baniya,MBA/PGDM,Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Export/Import,Hindu,real
Yadav,MBA/PGDM,Public Sector,INR 2 lakhs to 3 lakhs,Hindi,Finance and Accounts,Hindu,real
Garhwali Rajput,Other Diploma,State Government,INR 2 lakhs to 3 lakhs,Hindi,Finance and Accounts,Hindu,real
Gupta,MBA/PGDM,Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Finance and Accounts,Hindu,real
Gupta/Baniya/Vaish,B.Com (Commerce),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Finance and Accounts,Hindu,real
Jaiswal,B.Com (Commerce),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Finance and Accounts,Hindu,real
Digambar,B.Com (Commerce),Others,INR 2 lakhs to 3 lakhs,Hindi,Finance and Accounts,Jain,real
Thakur,MBA/PGDM,MNC,INR 2 lakhs to 3 lakhs,Hindi,Finance and Accounts,Hindu,real
Scheduled Caste,MBA/PGDM,Public Sector,INR 2 lakhs to 3 lakhs,Hindi,Finance and Accounts,Hindu,real
Brahmin - Kanyakubj,B.Com (Commerce),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Finance and Accounts,Hindu,real
Kayastha,B.Com (Commerce),MNC,INR 2 lakhs to 3 lakhs,Hindi,Finance and Accounts,Hindu,real
Brahmin,BE B.Tech (Engineering),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Government Employee,Hindu,real
Scheduled Caste,BE B.Tech (Engineering),Public Sector,INR 2 lakhs to 3 lakhs,Hindi,Government Employee,Hindu,real
Kayastha,B.A. (Arts),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Health Care,Hindu,real
Rajput,MSW (Social Work),MNC,INR 2 lakhs to 3 lakhs,Hindi,Health Care,Hindu,real
Brahmin - Bhumihar,BHM (Hotel Management),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Hotels/Restaurants,Hindu,real
Kori,MBA/PGDM,Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Human Resource,Hindu,real
Rajput,Engineering,MNC,INR 2 lakhs to 3 lakhs,Hindi,IT,Hindu,real
Yadav,BE B.Tech (Engineering),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,IT,Hindu,real
Brahmin,BE B.Tech (Engineering),Central Government,INR 2 lakhs to 3 lakhs,Hindi,IT,Hindu,real
Brahmin,BCA (Computer Application),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,IT,Hindu,real
Kashyap,BCA (Computer Application),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,IT,Hindu,real
Gupta,B.Sc (Science),MNC,INR 2 lakhs to 3 lakhs,Hindi,IT,Hindu,real
Jatav,MCA/PGDCA,Private Sector,INR 2 lakhs to 3 lakhs,Hindi,IT,Hindu,real
Others,MCA/PGDCA,Private Sector,INR 2 lakhs to 3 lakhs,Hindi,IT,Muslim,real
Rajput,MCA/PGDCA,Others,INR 2 lakhs to 3 lakhs,Hindi,IT,Hindu,real
Jatav,MCA/PGDCA,Private Sector,INR 2 lakhs to 3 lakhs,Hindi,IT,Hindu,real
Brahmin,BCA (Computer Application),MNC,INR 2 lakhs to 3 lakhs,Hindi,IT,Hindu,real
OBC/Barber/Naayee,Other Diploma,MNC,INR 2 lakhs to 3 lakhs,Hindi,IT,Hindu,real
Kayastha,B.Sc (Science),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,IT,Hindu,real
Brahmin,LLB,Public Sector,INR 2 lakhs to 3 lakhs,Hindi,Legal,Hindu,real
Brahmin,MBA/PGDM,Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Management/Corporate Professionals,Hindu,real
Brahmin,BBA/BBM/BBS,MNC,INR 2 lakhs to 3 lakhs,Hindi,Management/Corporate Professionals,Hindu,real
Nai,BE B.Tech (Engineering),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Manufacturing/Engineering/R&D,Hindu,real
Jat,12th,Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Manufacturing/Engineering/R&D,Hindu,real
Kalar,ME/M.Tech/MS (Engg/Sciences),Public Sector,INR 2 lakhs to 3 lakhs,Hindi,Manufacturing/Engineering/R&D,Hindu,real
Brahmin,BBA/BBM/BBS,Public Sector,INR 2 lakhs to 3 lakhs,Hindi,Manufacturing/Engineering/R&D,Hindu,real
Kurmi,Engineering,Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Manufacturing/Engineering/R&D,Hindu,real
Kshatriya,BE B.Tech (Engineering),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Manufacturing/Engineering/R&D,Hindu,real
Brahmin,PG Diploma,MNC,INR 2 lakhs to 3 lakhs,Hindi,Manufacturing/Engineering/R&D,Hindu,real
Rajput,Masters,Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Manufacturing/Engineering/R&D,Hindu,real
Teli,BE B.Tech (Engineering),MNC,INR 2 lakhs to 3 lakhs,Hindi,Marketing and Communications,Hindu,real
Kurmi Kshatriya,MBA/PGDM,Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Marketing and Communications,Hindu,real
Brahmin - Bhumihar,MBA/PGDM,MNC,INR 2 lakhs to 3 lakhs,Hindi,Marketing and Communications,Hindu,real
Baniya,MBA/PGDM,Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Marketing and Communications,Hindu,real
Kayastha,MBA/PGDM,Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Marketing and Communications,Hindu,real
Brahmin,B.Com (Commerce),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Marketing and Communications,Hindu,real
Brahmin - Gaur,B.Com (Commerce),Others,INR 2 lakhs to 3 lakhs,Hindi,Marketing and Communications,Hindu,real
Vishwakarma,Engineering,MNC,INR 2 lakhs to 3 lakhs,Hindi,Oil/Gas,Hindu,real
Thakur,BE B.Tech (Engineering),MNC,INR 2 lakhs to 3 lakhs,Hindi,Others,Hindu,real
Teli,12th,Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Others,Hindu,real
Agarwal,B.A. (Arts),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Others,Hindu,real
Rajput,B.A. (Arts),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Real Estate,Hindu,real
Chaurasia,MBA/PGDM,MNC,INR 2 lakhs to 3 lakhs,Hindi,Sales/Business Development,Hindu,real
Jat,BE B.Tech (Engineering),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Sales/Business Development,Hindu,real
Scheduled Caste,MBA/PGDM,MNC,INR 2 lakhs to 3 lakhs,Hindi,Sales/Business Development,Hindu,real
Digambar,B.Com (Commerce),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Sales/Business Development,Jain,real
Kumhar,BFA (Fine Arts),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Telecom/ISP,Hindu,real
Brahmin,B.Com (Commerce),Private Sector,INR 2 lakhs to 3 lakhs,Hindi,Travel/Airlines,Hindu,real
Khatri,MBA/PGDM,MNC,INR 20 lakhs to 25 lakhs,Hindi,Banking/Insurance/Financial Services,Hindu,real
Yadav,MBA/PGDM,Others,INR 20 lakhs to 25 lakhs,Hindi,Business Owner/Entrepreneur,Hindu,real
Kayastha,MBA/PGDM,Private Sector,INR 20 lakhs to 25 lakhs,Hindi,Business Owner/Entrepreneur,Hindu,real
Brahmin - Saryuparin,ME/M.Tech/MS (Engg/Sciences),Others,INR 20 lakhs to 25 lakhs,Hindi,Education/Training,Hindu,real
Kurmi Kshatriya,MBA/PGDM,Private Sector,INR 20 lakhs to 25 lakhs,Hindi,Education/Training,Hindu,real
Brahmin - Bhumihar,BE B.Tech (Engineering),MNC,INR 20 lakhs to 25 lakhs,Hindi,IT,Hindu,real
Rajput,MBA/PGDM,MNC,INR 20 lakhs to 25 lakhs,Hindi,IT,Hindu,real
Rajput,B.Sc (Science),MNC,INR 20 lakhs to 25 lakhs,Hindi,Merchant Navy,Hindu,real
Agarwal,MBA/PGDM,Private Sector,INR 20 lakhs to 25 lakhs,Hindi,Sales/Business Development,Hindu,real
Brahmin - Pandit,Integrated PG,MNC,INR 25 lakhs to 30 lakhs,Hindi,Banking/Insurance/Financial Services,Hindu,real
Khatri,BE B.Tech (Engineering),Private Sector,INR 25 lakhs to 30 lakhs,Hindi,Business Owner/Entrepreneur,Hindu,real
Shewetamber,CA (Chartered Accountant),Public Sector,INR 25 lakhs to 30 lakhs,Hindi,Customer Service/Call Centre/BPO,Jain,real
Agarwal,BBA/BBM/BBS,Private Sector,INR 25 lakhs to 30 lakhs,Hindi,Manufacturing/Engineering/R&D,Hindu,real
Agarwal,MBA/PGDM,Private Sector,INR 25 lakhs to 30 lakhs,Hindi,Marketing and Communications,Hindu,real
Brahmin - Kanyakubj,B.Sc (Science),Private Sector,INR 25 lakhs to 30 lakhs,Hindi,Merchant Navy,Hindu,real
Agarwal,Other Diploma,MNC,INR 3 lakhs to 4 lakhs,Hindi,Admin/Secretarial,Hindu,real
Brahmin,MBA/PGDM,Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Advertising/Entertainment/Media,Hindu,real
Khatri,Master of Fashion Technology,Public Sector,INR 3 lakhs to 4 lakhs,Hindi,Agriculture,Hindu,real
Jatav,ICWA,Central Government,INR 3 lakhs to 4 lakhs,Hindi,Architecture/Design,Hindu,real
Brahmin - Gaur,MA (Arts),Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Artists/Animators/Web Designers,Hindu,real
Saini,MBA/PGDM,Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Banking/Insurance/Financial Services,Hindu,real
Others,M.Com. (Commerce),Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Banking/Insurance/Financial Services,Muslim,real
Rajput Rohella/Tank,M.Com. (Commerce),Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Banking/Insurance/Financial Services,Hindu,real
Kayastha,MA (Arts),Central Government,INR 3 lakhs to 4 lakhs,Hindi,Banking/Insurance/Financial Services,Hindu,real
Brahmin,MBA/PGDM,Public Sector,INR 3 lakhs to 4 lakhs,Hindi,Banking/Insurance/Financial Services,Hindu,real
Khatri,MBA/PGDM,Others,INR 3 lakhs to 4 lakhs,Hindi,Business Owner/Entrepreneur,Hindu,real
Brahmin - Gaur,MBA/PGDM,Others,INR 3 lakhs to 4 lakhs,Hindi,Business Owner/Entrepreneur,Hindu,real
Sunni,B.A. (Arts),Others,INR 3 lakhs to 4 lakhs,Hindi,Business Owner/Entrepreneur,Muslim,real
Brahmin - Kanyakubj,12th,Others,INR 3 lakhs to 4 lakhs,Hindi,Business Owner/Entrepreneur,Hindu,real
Rajput,MBA/PGDM,Others,INR 3 lakhs to 4 lakhs,Hindi,Business Owner/Entrepreneur,Hindu,real
Scheduled Caste,B.A. (Arts),Others,INR 3 lakhs to 4 lakhs,Hindi,Business Owner/Entrepreneur,Hindu,real
Rajput,B.Sc (Science),Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Business Owner/Entrepreneur,Hindu,real
Khatri,B.Com (Commerce),Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Customer Service/Call Centre/BPO,Hindu,real
Brahmin,M.Ed. (Education),Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Customer Service/Call Centre/BPO,Hindu,real
Rajput,B.Sc (Science),Central Government,INR 3 lakhs to 4 lakhs,Hindi,Defence,Hindu,real
Arora,Other Post Graduation,Others,INR 3 lakhs to 4 lakhs,Hindi,Education/Training,Hindu,real
Others,MBA/PGDM,Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Education/Training,Muslim,real
Scheduled Caste,MFA (Fine Arts),Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Education/Training,Hindu,real
Brahmin - Gaur,MA (Arts),Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Education/Training,Hindu,real
Gupta,MCA/PGDCA,Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Education/Training,Hindu,real
Scheduled Caste,BCA (Computer Application),Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Education/Training,Hindu,real
Yadav,Ph.D. (Doctorate),State Government,INR 3 lakhs to 4 lakhs,Hindi,Education/Training,Hindu,real
Brahmin,MBA/PGDM,MNC,INR 3 lakhs to 4 lakhs,Hindi,Electronics,Hindu,real
Rajput,BE B.Tech (Engineering),Public Sector,INR 3 lakhs to 4 lakhs,Hindi,Electronics,Hindu,real
Rajput,BE B.Tech (Engineering),Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Electronics,Hindu,real
Gujarati,B.Com (Commerce),Public Sector,INR 3 lakhs to 4 lakhs,Hindi,Finance and Accounts,Hindu,real
Chaurasia,MBA/PGDM,Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Finance and Accounts,Hindu,real
Jat,B.Com (Commerce),MNC,INR 3 lakhs to 4 lakhs,Hindi,Finance and Accounts,Hindu,real
Kshatriya,B.Pharm (Pharmacy),State Government,INR 3 lakhs to 4 lakhs,Hindi,Government Employee,Hindu,real
Sahu,B.Sc (Science),Central Government,INR 3 lakhs to 4 lakhs,Hindi,Government Employee,Hindu,real
Brahmin - Gaur,B.Sc (Science),Public Sector,INR 3 lakhs to 4 lakhs,Hindi,Government Employee,Hindu,real
Baniya,B.Sc (Science),Central Government,INR 3 lakhs to 4 lakhs,Hindi,Government Employee,Hindu,real
Aryasamaj,M.Sc. (Science),State Government,INR 3 lakhs to 4 lakhs,Hindi,Government Employee,Hindu,real
Kayastha,PG Diploma,Others,INR 3 lakhs to 4 lakhs,Hindi,Health Care,Hindu,real
Baishya,BDS (Dental Surgery),Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Health Care,Hindu,real
Brahmin - Goswami/Gosavi,MBBS,State Government,INR 3 lakhs to 4 lakhs,Hindi,Health Care,Hindu,real
Saini,BHM (Hotel Management),Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Hotels/Restaurants,Hindu,real
Rajput,Other Diploma,Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Hotels/Restaurants,Hindu,real
Koli,BHM (Hotel Management),MNC,INR 3 lakhs to 4 lakhs,Hindi,Hotels/Restaurants,Hindu,real
Rajput,MBA/PGDM,Public Sector,INR 3 lakhs to 4 lakhs,Hindi,Human Resource,Hindu,real
Baniya,MBA/PGDM,Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Human Resource,Hindu,real
Kshatriya,BE B.Tech (Engineering),MNC,INR 3 lakhs to 4 lakhs,Hindi,IT,Hindu,real
Sia,MCA/PGDCA,Private Sector,INR 3 lakhs to 4 lakhs,Hindi,IT,Muslim,real
Agarwal,BE B.Tech (Engineering),MNC,INR 3 lakhs to 4 lakhs,Hindi,IT,Hindu,real
Khatri,B.Sc (Science),MNC,INR 3 lakhs to 4 lakhs,Hindi,IT,Hindu,real
Rajput,B.Com (Commerce),Private Sector,INR 3 lakhs to 4 lakhs,Hindi,IT,Hindu,real
Thakur,BE B.Tech (Engineering),State Government,INR 3 lakhs to 4 lakhs,Hindi,IT,Hindu,real
Digambar,MCA/PGDCA,MNC,INR 3 lakhs to 4 lakhs,Hindi,IT,Jain,real
Jat,MCA/PGDCA,Private Sector,INR 3 lakhs to 4 lakhs,Hindi,IT,Hindu,real
Jaiswal,MCA/PGDCA,MNC,INR 3 lakhs to 4 lakhs,Hindi,IT,Hindu,real
Sia,MBA/PGDM,Private Sector,INR 3 lakhs to 4 lakhs,Hindi,IT,Muslim,real
Vishwakarma,BE B.Tech (Engineering),Private Sector,INR 3 lakhs to 4 lakhs,Hindi,IT,Hindu,real
Brahmin - Gaur,MCA/PGDCA,MNC,INR 3 lakhs to 4 lakhs,Hindi,IT,Hindu,real
Kayastha,MCA/PGDCA,Private Sector,INR 3 lakhs to 4 lakhs,Hindi,IT,Hindu,real
Kushwaha,MCA/PGDCA,Private Sector,INR 3 lakhs to 4 lakhs,Hindi,IT,Hindu,real
Brahmin - Gour,MCA/PGDCA,Private Sector,INR 3 lakhs to 4 lakhs,Hindi,IT,Hindu,real
Arora,BL/LLB/BGL (Law),Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Legal,Hindu,real
Vaishnav,LLB,Others,INR 3 lakhs to 4 lakhs,Hindi,Legal,Hindu,real
Jatav,Engineering,Central Government,INR 3 lakhs to 4 lakhs,Hindi,Manufacturing/Engineering/R&D,Hindu,real
Yadav,BE B.Tech (Engineering),Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Manufacturing/Engineering/R&D,Hindu,real
Kayastha,ME/M.Tech/MS (Engg/Sciences),MNC,INR 3 lakhs to 4 lakhs,Hindi,Manufacturing/Engineering/R&D,Hindu,real
Chaudary,MBA/PGDM,Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Marketing and Communications,Hindu,real
Agarwal,MBA/PGDM,Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Marketing and Communications,Hindu,real
Shewetamber,B.Sc (Science),Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Marketing and Communications,Jain,real
Rajput,MBA/PGDM,Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Others,Hindu,real
Chaurasia,CA (Chartered Accountant),Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Others,Hindu,real
Kayastha,MBA/PGDM,Others,INR 3 lakhs to 4 lakhs,Hindi,Others,Hindu,real
Pasi,Engineering,Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Others,Hindu,real
Agarwal,10th,Others,INR 3 lakhs to 4 lakhs,Hindi,Others,Hindu,real
Brahmin,MBA/PGDM,MNC,INR 3 lakhs to 4 lakhs,Hindi,Pharmaceutical/Biotechnology,Hindu,real
Gupta,MBA/PGDM,Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Purchase/Logistics/Supply chain,Hindu,real
Vishwakarma,BE B.Tech (Engineering),MNC,INR 3 lakhs to 4 lakhs,Hindi,Purchase/Logistics/Supply chain,Hindu,real
Sunni,MBA/PGDM,Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Retail Chains,Muslim,real
Jat,MBA/PGDM,Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Sales/Business Development,Hindu,real
Sunni,B.Sc (Science),Others,INR 3 lakhs to 4 lakhs,Hindi,Sales/Business Development,Muslim,real
Brahmin,BE B.Tech (Engineering),MNC,INR 3 lakhs to 4 lakhs,Hindi,Telecom/ISP,Hindu,real
Brahmin,BE B.Tech (Engineering),Private Sector,INR 3 lakhs to 4 lakhs,Hindi,Telecom/ISP,Hindu,real
Kayastha,B.Com (Commerce),Central Government,INR 3 lakhs to 4 lakhs,Hindi,Defence,Hindu,real
Sunni,B.A. (Arts),Central Government,INR 30 lakhs to 40 lakhs,Hindi,Defence,Muslim,real
Kayastha,ME/M.Tech/MS (Engg/Sciences),MNC,INR 30 lakhs to 40 lakhs,Hindi,Manufacturing/Engineering/R&D,Hindu,real
Shewetamber,B.Com (Commerce),Others,INR 30 lakhs to 40 lakhs,Hindi,Sales/Business Development,Jain,real
Vishwakarma,BE B.Tech (Engineering),Private Sector,INR 30 lakhs to 40 lakhs,Hindi,IT,Hindu,real
Kayastha,MBA/PGDM,MNC,INR 30 lakhs to 40 lakhs,Hindi,Telecom/ISP,Hindu,real
Gupta,BE B.Tech (Engineering),Private Sector,INR 30 lakhs to 40 lakhs,Hindi,IT,Hindu,real
Bhumihar Brahmin,ME/M.Tech/MS (Engg/Sciences),Private Sector,INR 30 lakhs to 40 lakhs,Hindi,IT,Hindu,real
Brahmin,CA (Chartered Accountant),MNC,INR 4 lakhs to 5 lakhs,Hindi,Admin/Secretarial,Hindu,real
Brahmin - Pandit,PG Diploma,Private Sector,INR 4 lakhs to 5 lakhs,Hindi,Admin/Secretarial,Hindu,real
Rajput,MA (Arts),Private Sector,INR 4 lakhs to 5 lakhs,Hindi,Advertising/Entertainment/Media,Hindu,real
Brahmin,B.A. (Arts),Private Sector,INR 4 lakhs to 5 lakhs,Hindi,Advertising/Entertainment/Media,Hindu,real
Rajput,CFA (Chartered Financial Analyst),Public Sector,INR 4 lakhs to 5 lakhs,Hindi,Artists/Animators/Web Designers,Hindu,real
Brahmin,MBA/PGDM,Private Sector,INR 4 lakhs to 5 lakhs,Hindi,Banking/Insurance/Financial Services,Hindu,real
Rajput,M.Phil. (Philosophy),Others,INR 4 lakhs to 5 lakhs,Hindi,Banking/Insurance/Financial Services,Hindu,real
Maheshwari,MBA/PGDM,MNC,INR 4 lakhs to 5 lakhs,Hindi,Banking/Insurance/Financial Services,Hindu,real
Rajput,M.Com. (Commerce),Private Sector,INR 4 lakhs to 5 lakhs,Hindi,Banking/Insurance/Financial Services,Hindu,real
Rajput,MBA/PGDM,MNC,INR 4 lakhs to 5 lakhs,Hindi,Banking/Insurance/Financial Services,Hindu,real
Agarwal,M.Lib.Sc. (Library Sciences),Public Sector,INR 4 lakhs to 5 lakhs,Hindi,Beauty/Fashion/Jewellery Designers,Hindu,real
Agarwal,12th,Not Working,INR 4 lakhs to 5 lakhs,Hindi,Business Owner/Entrepreneur,Hindu,real
Rajput,M.Plan. (Planning),Private Sector,INR 4 lakhs to 5 lakhs,Hindi,Business Owner/Entrepreneur,Hindu,real
Brahmin,B.Com (Commerce),Others,INR 4 lakhs to 5 lakhs,Hindi,Business Owner/Entrepreneur,Hindu,real
Sindhi,B.Com (Commerce),Private Sector,INR 4 lakhs to 5 lakhs,Hindi,Business Owner/Entrepreneur,Hindu,real
Protestant,MBA/PGDM,Others,INR 4 lakhs to 5 lakhs,Hindi,Business Owner/Entrepreneur,Christian,real
Gupta,B.Com (Commerce),Others,INR 4 lakhs to 5 lakhs,Hindi,Business Owner/Entrepreneur,Hindu,real
Rajput,B.A. (Arts),Private Sector,INR 4 lakhs to 5 lakhs,Hindi,Business Owner/Entrepreneur,Hindu,real
Sunni,MFA (Fine Arts),Others,INR 4 lakhs to 5 lakhs,Hindi,Business Owner/Entrepreneur,Muslim,real
Brahmin,BCA (Computer Application),Others,INR 4 lakhs to 5 lakhs,Hindi,Business Owner/Entrepreneur,Hindu,real
Nair,ICWA,Public Sector,INR 4 lakhs to 5 lakhs,Hindi,Civil Services/Law Enforcement,Hindu,real
Kayastha,B.Com (Commerce),Private Sector,INR 4 lakhs to 5 lakhs,Hindi,Construction,Hindu,real
Brahmin,B.Com (Commerce),Private Sector,INR 4 lakhs to 5 lakhs,Hindi,Customer Service/Call Centre/BPO,Hindu,real
Brahmin,M.Sc. (Science),Others,INR 4 lakhs to 5 lakhs,Hindi,Education/Training,Hindu,real
Brahmin,MCA PGDCA part time,MNC,INR 4 lakhs to 5 lakhs,Hindi,Education/Training,Hindu,real
Rajput,Ph.D. (Doctorate),Others,INR 4 lakhs to 5 lakhs,Hindi,Education/Training,Hindu,real
Vishwakarma,B.Ed (Education),State Government,INR 4 lakhs to 5 lakhs,Hindi,Education/Training,Hindu,real
Agarwal,MBA/PGDM,Private Sector,INR 4 lakhs to 5 lakhs,Hindi,Education/Training,Hindu,real
Kayastha,Masters,State Government,INR 4 lakhs to 5 lakhs,Hindi,Education/Training,Hindu,real
Kshatriya,MBA/PGDM,Private Sector,INR 4 lakhs to 5 lakhs,Hindi,Electronics,Hindu,real
Brahmin,MCA/PGDCA,Private Sector,INR 4 lakhs to 5 lakhs,Hindi,Electronics,Hindu,real
Agarwal,MBA/PGDM,Public Sector,INR 4 lakhs to 5 lakhs,Hindi,Finance and Accounts,Hindu,real
Khatri,CA (Chartered Accountant),Public Sector,INR 4 lakhs to 5 lakhs,Hindi,Finance and Accounts,Hindu,real
Kushwaha (Koiri),M.Sc. (Science),State Government,INR 4 lakhs to 5 lakhs,Hindi,Government Employee,Hindu,real
Bishnoi/Vishnoi,B.A. (Arts),Central Government,INR 4 lakhs to 5 lakhs,Hindi,Government Employee,Hindu,real
Agarwal,MBA/PGDM,MNC,INR 4 lakhs to 5 lakhs,Hindi,Health Care,Hindu,real
Gupta,B.Pharm (Pharmacy),MNC,INR 4 lakhs to 5 lakhs,Hindi,Health Care,Hindu,real
Khatri,B.A. (Arts),Others,INR 4 lakhs to 5 lakhs,Hindi,Health Care,Hindu,real
Kshatriya,M.Sc. (Science),Public Sector,INR 4 lakhs to 5 lakhs,Hindi,Health Care,Hindu,real
Kayastha,MBA/PGDM,MNC,INR 4 lakhs to 5 lakhs,Hindi,Human Resource,Hindu,real
Rajput,BE B.Tech (Engineering),MNC,INR 4 lakhs to 5 lakhs,Hindi,IT,Hindu,real
Kahar,BE B.Tech (Engineering),MNC,INR 4 lakhs to 5 lakhs,Hindi,IT,Hindu,real
Brahmin - Bhumihar,MA (Arts),Private Sector,INR 4 lakhs to 5 lakhs,Hindi,IT,Hindu,real
Kayastha,MCA PGDCA part time,Private Sector,INR 4 lakhs to 5 lakhs,Hindi,IT,Hindu,real
Garhwali,MCA/PGDCA,MNC,INR 4 lakhs to 5 lakhs,Hindi,IT,Hindu,real
Rajput,BE B.Tech (Engineering),MNC,INR 4 lakhs to 5 lakhs,Hindi,IT,Hindu,real
Khatri,BE B.Tech (Engineering),MNC,INR 4 lakhs to 5 lakhs,Hindi,IT,Hindu,real
Sahu,MCA/PGDCA,Private Sector,INR 4 lakhs to 5 lakhs,Hindi,IT,Hindu,real
Sahu,MCA/PGDCA,MNC,INR 4 lakhs to 5 lakhs,Hindi,IT,Hindu,real
Kayastha,MCA/PGDCA,Private Sector,INR 4 lakhs to 5 lakhs,Hindi,IT,Hindu,real
