caste1,degree,employed1,income1,mother1,occupation,religion1,account
Brahmin - Saryuparin,Master of Hospital Administration,Private Sector,INR Under 50 thousand,Dogri,Pharmaceutical/Biotechnology,Buddhist,fake
Karana,M.Ed. (Education),State Government,INR 30 lakhs to 40 lakhs,Nepali,Telecom/ISP,Buddhist,fake
Lingayath,B.El.Ed (Elementary Education),Central Government,INR 3 lakhs to 4 lakhs,Santhali,Finance and Accounts,Buddhist,fake
Karana,M.Arch. (Architecture),Public Sector,INR 50 lakhs and above,Konkani,Sales/Business Development,Buddhist,fake
Kushwaha (Koiri),Master of Hospital Administration,Private Sector,INR Under 50 thousand,Dogri,Banking/Insurance/Financial Services,Buddhist,fake
Gowda,CFA (Chartered Financial Analyst),Public Sector,INR 20 lakhs to 25 lakhs,Sindhi,Defence/Merchant Navy,Buddhist,fake
Kapu,MSW (Social Work),Private Sector,INR 25 lakhs to 30 lakhs,Kutchi,Merchant Navy,Buddhist,fake
Goud,MA (Arts),Central Government,INR 3 lakhs to 4 lakhs,Malayalam,Defence/Management/Corporate Professionals,Buddhist,fake
Velaan/Vellalar,MD/MS (Medicine),Public Sector,INR 30 lakhs to 40 lakhs,Arunachali,Hotels/Restaurants,Buddhist,fake
"Sonar,Soni",10th,Central Government,INR 25 lakhs to 30 lakhs,English,Government Employee,Buddhist,fake
Vaishnav,M.Pharm. (Pharmacy),State Government,INR 25 lakhs to 30 lakhs,Haryanvi,Marketing and Communications,Buddhist,fake
Brahmin - Smartha,Other Doctorate,Public Sector,INR 25 lakhs to 30 lakhs,Badaga,Government Employee,Buddhist,fake
Swakula Sali,Arts/Graphic Designing,Central Government,INR 50 thousand to 1 lakh,Kutchi,Telecom/ISP,Buddhist,fake
Sindhi,BBA/BBM/BBS,Public Sector,Don't wish to specify,Sindhi,Non Working,Buddhist,fake
Senguntha Mudaliyar,B.Plan (Planning),State Government,INR 25 lakhs to 30 lakhs,Maithili,Finance and Accounts,Buddhist,fake
Scheduled Caste,ME/M.Tech/MS (Engg/Sciences),Central Government,INR 20 lakhs to 25 lakhs,Tamil,Marketing and Communications,Buddhist,fake
Naidu,MDS (Master of Dental Surgery),State Government,INR 30 lakhs to 40 lakhs,Awadhi,Beauty/Fashion/Jewellery Designers,Buddhist,fake
Bhatraju,MDS (Master of Dental Surgery),Central Government,INR 3 lakhs to 4 lakhs,English,Civil Services/Law Enforcement,Buddhist,fake
Namasudra,MCA/PGDCA,Public Sector,INR 30 lakhs to 40 lakhs,Badaga,Artists/Animators/Web Designers,Buddhist,fake
Jatav,MSW (Social Work),Central Government,INR 25 lakhs to 30 lakhs,Khasi,Construction,Buddhist,fake
Brahmin - Kokanastha,Other School/Graduation,Central Government,Don't wish to specify,Tulu,Advertising/Entertainment/Media,Buddhist,fake
Pal,MBBS,Central Government,INR Under 50 thousand,Telugu,Agriculture,Buddhist,fake
Ambalavasi,Arts/Graphic Designing,State Government,INR 25 lakhs to 30 lakhs,Awadhi,Education/Training,Buddhist,fake
Iyer,BHM (Hotel Management),Central Government,INR 20 lakhs to 25 lakhs,Mizo,Architecture/Design,Buddhist,fake
Baishya,MCA/PGDCA,Central Government,INR Under 50 thousand,Sowrashtra,Real Estate,Buddhist,fake
Valmiki,PG Diploma,Central Government,INR 40 lakhs to 50 lakhs,Santhali,Advertising/Entertainment/Media,Buddhist,fake
Brahmin - Iyer,B.Plan (Planning),Public Sector,INR 30 lakhs to 40 lakhs,Konkani,Business Owner/Entrepreneur,Buddhist,fake
Kamma,MCA/PGDCA,Central Government,INR Under 50 thousand,Kashmiri,Agriculture,Buddhist,fake
Gavali,MSW (Social Work),State Government,INR 3 lakhs to 4 lakhs,Dogri,Government Employee,Buddhist,fake
Gondhali,Other Diploma,Public Sector,INR 25 lakhs to 30 lakhs,Lambani,Purchase/Logistics/Supply chain,Buddhist,fake
Sakkhar Sindhi,MBBS,State Government,INR 50 thousand to 1 lakh,Kashmiri,Health Care,Buddhist,fake
Baibhand Sindhi,M.Pharm. (Pharmacy),Central Government,INR 30 lakhs to 40 lakhs,Kumoani,Defence,Buddhist,fake
Sikh - Khatri,B.Plan (Planning),Public Sector,INR 40 lakhs to 50 lakhs,Coorgi,Architecture/Design,Buddhist,fake
Marvar,CS (Company Secretary),State Government,INR 25 lakhs to 30 lakhs,Sindhi,Human Resource,Buddhist,fake
Tamboli,Engineering,Public Sector,INR 3 lakhs to 4 lakhs,Arunachali,Beauty/Fashion/Jewellery Designers,Buddhist,fake
Mudaliar Saiva,BL/LLB/BGL (Law),Central Government,INR 50 lakhs and above,English,Marketing and Communications,Buddhist,fake
Brahmin Shivalli,Master of Fashion Technology,Public Sector,Don't wish to specify,Sanskrit,Health Care,Buddhist,fake
Brahmin - Jangra,10th,Central Government,INR 3 lakhs to 4 lakhs,Punjabi,Banking/Insurance/Financial Services,Buddhist,fake
Koli,CA (Chartered Accountant),Private Sector,INR 30 lakhs to 40 lakhs,Others,Customer Service/Call Centre/BPO,Buddhist,fake
Brahmin - Iyer,Integrated PG,Public Sector,INR 30 lakhs to 40 lakhs,Arunachali,Defence,Buddhist,fake
"Bengali,Nepali",B.Ed (Education),State Government,INR 50 thousand to 1 lakh,Magahi,Human Resource,Buddhist,fake
Gavara,BHMS (Homeopathy),Public Sector,INR 30 lakhs to 40 lakhs,Somali,Agriculture,Buddhist,fake
Meru Darji,M.Com. (Commerce),State Government,INR 20 lakhs to 25 lakhs,Punjabi,Government Employee,Buddhist,fake
Hindu-Others,Other Diploma,Private Sector,INR 3 lakhs to 4 lakhs,Bihari,Legal,Buddhist,fake
Thakur,B.Sc (Science),State Government,INR 25 lakhs to 30 lakhs,Kashmiri,Beauty/Fashion/Jewellery Designers,Buddhist,fake
Gandla,BCA (Computer Application),State Government,INR 25 lakhs to 30 lakhs,Kumoani,Manufacturing/Engineering/R&D,Buddhist,fake
Sikh - Lubana,BHMS (Homeopathy),Central Government,INR 30 lakhs to 40 lakhs,Haryanvi,Legal,Buddhist,fake
Sindhi-Rohiri,B.Sc (Science),Private Sector,INR 25 lakhs to 30 lakhs,Arabic ,Oil/Gas,Buddhist,fake
Gurjar,MSW (Social Work),Private Sector,INR 30 lakhs to 40 lakhs,Hindi,Travel/Airlines,Buddhist,fake
Nayaka,Engineering,State Government,INR 50 thousand to 1 lakh,Dogri,Beauty/Fashion/Jewellery Designers,Buddhist,fake
MahisyaSaurashtra,BE B.Tech (Engineering),Public Sector,INR 50 thousand to 1 lakh,Haryanvi,Purchase/Logistics/Supply chain,Buddhist,fake
Meena,BHMS (Homeopathy),State Government,INR 30 lakhs to 40 lakhs,Bihari,Banking/Insurance/Financial Services,Buddhist,fake
Nepali,M.Sc. (Science),Central Government,Don't wish to specify,Thadou kuki,Telecom/ISP,Buddhist,fake
Mangalorean,Other Diploma,Private Sector,INR 30 lakhs to 40 lakhs,Kumoani,Admin/Secretarial,Buddhist,fake
Mahishya,M.Phil. (Philosophy),Public Sector,INR 50 lakhs and above,Badaga,Export/Import,Buddhist,fake
Mapila,Other Diploma,Private Sector,INR 30 lakhs to 40 lakhs,Kashmiri,Government Employee,Buddhist,fake
Karmakar,Master of Fashion Technology,Public Sector,INR 50 lakhs and above,Himachali/Pahari,Non Working,Buddhist,fake
Sahu,Other Doctorate,Private Sector,INR 30 lakhs to 40 lakhs,Magahi,Science,Buddhist,fake
Reddy,Other Doctorate,State Government,Don't wish to specify,Kutchi,Beauty/Fashion/Jewellery Designers,Buddhist,fake
Brahmin - Madhwa,BBA/BBM/BBS,Central Government,INR 25 lakhs to 30 lakhs,Kashmiri,Oil/Gas,Buddhist,fake
Brahmin - Jangid,M.Plan. (Planning),Public Sector,INR 25 lakhs to 30 lakhs,English,Business Owner/Entrepreneur,Buddhist,fake
Badaga,MA (Arts),Public Sector,INR 50 lakhs and above,Oriya,Government Employee,Buddhist,fake
Brahmin - Madhwa,Bachelor of Fashion Technology,Central Government,Don't wish to specify,Hindi,Others,Buddhist,fake
Marvar,10th,Public Sector,INR Under 50 thousand,Kashmiri,Purchase/Logistics/Supply chain,Buddhist,fake
Kadava Patel,M.Arch. (Architecture),State Government,INR 25 lakhs to 30 lakhs,Swedish,Civil Services/Law Enforcement,Buddhist,fake
Sindhi-Sahiti,ME/M.Tech/MS (Engg/Sciences),State Government,INR Under 50 thousand,Sanskrit,Legal,Buddhist,fake
Namboodiri,B.Ed (Education),Private Sector,INR Under 50 thousand,Arunachali,Export/Import,Buddhist,fake
Jatav,CA (Chartered Accountant),Public Sector,INR 50 thousand to 1 lakh,Garo,Banking/Insurance/Financial Services,Buddhist,fake
Iyer,MSW (Social Work),State Government,INR 30 lakhs to 40 lakhs,Tulu,Advertising/Entertainment/Media ,Buddhist,fake
Togata,CFA (Chartered Financial Analyst),State Government,INR 50 lakhs and above,Malayalam,IT,Buddhist,fake
Vankar,10th,Central Government,INR 25 lakhs to 30 lakhs,Tamil,Advertising/Entertainment/Media,Buddhist,fake
Veera Saivam,M.Sc. (Science),Public Sector,INR Under 50 thousand,Sowrashtra,Non Working,Buddhist,fake
Kansari,MBBS,Central Government,INR Under 50 thousand,Kutchi,Admin/Secretarial,Buddhist,fake
Suthar,MD/MS (Medicine),Private Sector,INR 30 lakhs to 40 lakhs,Himachali/Pahari,Advertising/Entertainment/Media ,Buddhist,fake
Amil Sindhi,Other Diploma,Central Government,INR 20 lakhs to 25 lakhs,English,Admin/Secretarial,Buddhist,fake
Kumhar,M.Arch. (Architecture),Central Government,Don't wish to specify,Magahi,Government Employee,Buddhist,fake
Brahmin - Shivhalli,B.Pharm (Pharmacy),Private Sector,INR 30 lakhs to 40 lakhs,Oriya,Legal,Buddhist,fake
Thakur,Integrated PG,State Government,INR 50 lakhs and above,English,Defence/Merchant Navy,Buddhist,fake
Brahmin - Namboodiri,Other School/Graduation,Private Sector,INR Under 50 thousand,Bengali,Legal,Buddhist,fake
Patel Leva,Engineering,Private Sector,INR 20 lakhs to 25 lakhs,Khasi,Others,Buddhist,fake
Chambhar,B.Plan (Planning),Public Sector,INR 30 lakhs to 40 lakhs,Himachali/Pahari,Civil Services/Law Enforcement,Buddhist,fake
Ezhuthachan,B.Plan (Planning),Public Sector,INR 3 lakhs to 4 lakhs,Tamil,Oil/Gas,Buddhist,fake
Chhetri,Integrated PG,Central Government,INR 30 lakhs to 40 lakhs,English,Non Working,Buddhist,fake
Shah,M.Pharm. (Pharmacy),Private Sector,INR 3 lakhs to 4 lakhs,Lambani,Advertising/Entertainment/Media ,Buddhist,fake
Panchal,M.Plan. (Planning),Private Sector,INR 25 lakhs to 30 lakhs,Haryanvi,Purchase/Logistics/Supply chain,Buddhist,fake
Hugar (Jeer),M.Ed. (Education),State Government,INR 40 lakhs to 50 lakhs,English,Admin/Secretarial,Buddhist,fake
Brahmin,B.Plan (Planning),Central Government,INR 30 lakhs to 40 lakhs,Telugu,Banking/Insurance/Financial Services,Sikh,fake
Brahmin - Dravida,B.Com (Commerce),State Government,INR 20 lakhs to 25 lakhs,Awadhi,Science,Sikh,fake
Sindhi-Hyderabadi,BHM (Hotel Management),Public Sector,INR 20 lakhs to 25 lakhs,Himachali/Pahari,Beauty/Fashion/Jewellery Designers,Sikh,fake
Setti Balija,Other Diploma,Private Sector,Don't wish to specify,Bengali,IT,Sikh,fake
Brahmin - Sri Vaishnava,12th,State Government,INR 50 thousand to 1 lakh,Kutchi,Beauty/Fashion/Jewellery Designers,Sikh,fake
Chattada Sri Vaishnava,M.Sc. (Science),Private Sector,INR Under 50 thousand,Mizo,Beauty/Fashion/Jewellery Designers,Sikh,fake
Gandla,Master of Fashion Technology,Central Government,INR 30 lakhs to 40 lakhs,Malayalam,Banking/Insurance/Financial Services,Sikh,fake
Oriya,B.Com (Commerce),Central Government,INR 30 lakhs to 40 lakhs,Coorgi,Health Care,Sikh,fake
Guptan,BDS (Dental Surgery),Private Sector,INR 3 lakhs to 4 lakhs,Maithili,Finance and Accounts,Sikh,fake
Baniya,M.Com. (Commerce),State Government,INR 25 lakhs to 30 lakhs,Lambani,Others,Sikh,fake
Patel Leva,Engineering,Public Sector,INR 40 lakhs to 50 lakhs,Bhojpuri,Telecom/ISP,Sikh,fake
Mudaliar,M.Phil. (Philosophy),State Government,INR 40 lakhs to 50 lakhs,Himachali/Pahari,Agriculture,Sikh,fake
Chandravanshi Kahar,BDS (Dental Surgery),Public Sector,INR 50 lakhs and above,Lambani,Export/Import,Sikh,fake
Brahmin - Sikhwal,MSW (Social Work),Central Government,INR 3 lakhs to 4 lakhs,Thadou kuki,Manufacturing/Engineering/R&D,Sikh,fake
Muthuraja,12th,Central Government,INR 25 lakhs to 30 lakhs,Malayalam,Customer Service/Call Centre/BPO,Sikh,fake
Brahmin - Velanadu,PG Diploma,Public Sector,INR Under 50 thousand,Bhojpuri,Science,Sikh,fake
Ravidasia,10th,Private Sector,INR 25 lakhs to 30 lakhs,English,Marketing and Communications,Sikh,fake
Brahmin - Madhwa,BFA (Fine Arts),Public Sector,INR 25 lakhs to 30 lakhs,Magahi,Legal,Sikh,fake
Mudaliyar,12th,Private Sector,INR 25 lakhs to 30 lakhs,Rajasthani,Defence/Merchant Navy,Sikh,fake
Chaudary,M.Lib.Sc. (Library Sciences),Central Government,INR 50 lakhs and above,English,Science,Sikh,fake
Chaudary,MD/MS (Medicine),Central Government,INR 20 lakhs to 25 lakhs,Coorgi,Banking/Insurance/Financial Services,Sikh,fake
Dheevara,MBA/PGDM,Private Sector,INR Under 50 thousand,Swedish,Civil Services/Law Enforcement,Sikh,fake
Rohiri Sindhi,BHM (Hotel Management),Public Sector,INR 50 lakhs and above,Sanskrit,Customer Service/Call Centre/BPO,Sikh,fake
Vanniyar,BBA/BBM/BBS,Private Sector,INR 50 thousand to 1 lakh,marwari,Finance and Accounts,Sikh,fake
Brahmin - Velanadu,BDS (Dental Surgery),State Government,INR 25 lakhs to 30 lakhs,Pushtu,Export/Import,Sikh,fake
Kunbi,Master of Hospital Administration,Central Government,INR 50 thousand to 1 lakh,Bihari,Civil Services/Law Enforcement,Sikh,fake
Mathur,12th,Private Sector,INR 20 lakhs to 25 lakhs,Thadou kuki,Merchant Navy,Sikh,fake
Vellalar,12th,State Government,Don't wish to specify,Telugu,Business Owner/Entrepreneur,Sikh,fake
Yadav,10th,Central Government,INR 25 lakhs to 30 lakhs,Kutchi,Government Employee,Sikh,fake
Naidu,10th,Public Sector,INR 30 lakhs to 40 lakhs,Punjabi,Admin/Secretarial,Sikh,fake
Brahmin - Sakaldwipi,CA (Chartered Accountant),Public Sector,INR 40 lakhs to 50 lakhs,Lambani,Others,Sikh,fake
Velama,MBBS,State Government,INR 30 lakhs to 40 lakhs,Manipuri,Education/Training,Sikh,fake
Brahmin - Rarhi,BHMS (Homeopathy),Public Sector,INR 25 lakhs to 30 lakhs,Arabic ,Merchant Navy,Sikh,fake
Jogi (Nath),Engineering,Public Sector,Don't wish to specify,Punjabi,Real Estate,Sikh,fake
Gavara,Other Doctorate,State Government,INR 25 lakhs to 30 lakhs,Awadhi,Export/Import,Sikh,fake
Saliya,B.Arch (Architecture),Central Government,INR 50 thousand to 1 lakh,Badaga,Sales/Business Development,Sikh,fake
Kaibarta,MBBS,State Government,INR 20 lakhs to 25 lakhs,Swedish,Merchant Navy,Sikh,fake
Nhavi,BDS (Dental Surgery),Central Government,INR 25 lakhs to 30 lakhs,Garhwali,Education/Training,Sikh,fake
Agnikula Kshatriya,B.Arch (Architecture),State Government,Don't wish to specify,Malayalam,Export/Import,Sikh,fake
Kadava Patel,BL/LLB/BGL (Law),State Government,INR Under 50 thousand,Tulu,Government Employee,Sikh,fake
Mangalorean,M.Lib.Sc. (Library Sciences),State Government,Don't wish to specify,Kumoani,Sales/Business Development,Sikh,fake
Jatav,Master of Hospital Administration,Public Sector,INR 25 lakhs to 30 lakhs,marwari,Advertising/Entertainment/Media,Sikh,fake
Gomantak,MBBS,Private Sector,INR 50 thousand to 1 lakh,Hindi,Travel/Airlines,Sikh,fake
Vokkaliga,Other Diploma,Central Government,INR 50 thousand to 1 lakh,Konkani,Advertising/Entertainment/Media ,Sikh,fake
Kannada Mogaveera,BL/LLB/BGL (Law),Central Government,INR 20 lakhs to 25 lakhs,English,Admin/Secretarial,Sikh,fake
Banjara,M.Phil. (Philosophy),Central Government,INR 50 lakhs and above,Santhali,Non Working,Sikh,fake
Chambhar,10th,Public Sector,INR 30 lakhs to 40 lakhs,Badaga,Telecom/ISP,Sikh,fake
Mallah,BFA (Fine Arts),Central Government,INR 20 lakhs to 25 lakhs,Badaga,Electronics,Sikh,fake
Kutchi,PG Diploma,Central Government,Don't wish to specify,Assamese,Banking/Insurance/Financial Services,Sikh,fake
Pal,Master of Hospital Administration,Public Sector,Don't wish to specify,Tulu,Health Care,Sikh,fake
Araya,M.Plan. (Planning),Public Sector,INR 30 lakhs to 40 lakhs,Punjabi,Human Resource,Sikh,fake
Monchi,M.Ed. (Education),Private Sector,INR 40 lakhs to 50 lakhs,Persian,Oil/Gas,Sikh,fake
Ghumar,Master of Fashion Technology,Central Government,INR 50 lakhs and above,Dogri,Admin/Secretarial,Sikh,fake
Brahmin - Sanadya,Engineering,State Government,INR 30 lakhs to 40 lakhs,Bihari,Defence/Merchant Navy,Sikh,fake
"Nair Vaniya,Nair Vilakkithala",BCA (Computer Application),Central Government,INR 30 lakhs to 40 lakhs,Punjabi,Beauty/Fashion/Jewellery Designers,Sikh,fake
Velaan/Vellalar,Other Doctorate,Private Sector,INR 50 thousand to 1 lakh,marwari,Advertising/Entertainment/Media,Sikh,fake
Madiga,Ph.D. (Doctorate),State Government,INR Under 50 thousand,Swedish,Advertising/Entertainment/Media,Sikh,fake
Brahmin - Kumoani,CFA (Chartered Financial Analyst),Private Sector,INR 30 lakhs to 40 lakhs,Sindhi,Banking/Insurance/Financial Services,Sikh,fake
Yadav,MCA/PGDCA,Private Sector,INR 20 lakhs to 25 lakhs,Others,Business Owner/Entrepreneur,Sikh,fake
Scheduled Tribe,BBA/BBM/BBS,Central Government,INR Under 50 thousand,Swedish,Telecom/ISP,Sikh,fake
Thiyya,BE B.Tech (Engineering),Public Sector,Don't wish to specify,Malayalam,Non Working,Sikh,fake
Sindhi-Shikarpuri,MA (Arts),Private Sector,INR 40 lakhs to 50 lakhs,Kashmiri,Electronics,Sikh,fake
Kutchi,M.Plan. (Planning),State Government,INR 3 lakhs to 4 lakhs,Mizo,Banking/Insurance/Financial Services,Sikh,fake
Jogi (Nath),Integrated PG,Public Sector,INR 25 lakhs to 30 lakhs,Garhwali,Telecom/ISP,Sikh,fake
Brahmin - Gaur,B.Arch (Architecture),Private Sector,INR 20 lakhs to 25 lakhs,Khasi,Hotels/Restaurants,Sikh,fake
Bhavasar Kshatriya,B.Ed (Education),Private Sector,INR 50 lakhs and above,Chatisgarhi,Non Working,Sikh,fake
Ramgariah,Other Diploma,Private Sector,Don't wish to specify,Garo,Electronics,Sikh,fake
Adi Andhra,MBBS,Central Government,INR 50 lakhs and above,Hindi,Business Owner/Entrepreneur,Sikh,fake
Ghumar,MA (Arts),Private Sector,INR 30 lakhs to 40 lakhs,Sowrashtra,Defence/Management/Corporate Professionals,Sikh,fake
Gudia,B.Ed (Education),State Government,INR 30 lakhs to 40 lakhs,Mizo,Export/Import,Sikh,fake
Baniya,BCA (Computer Application),Central Government,INR 25 lakhs to 30 lakhs,Khasi,Advertising/Entertainment/Media ,Sikh,fake
Baishya,MDS (Master of Dental Surgery),Private Sector,INR 50 thousand to 1 lakh,Gujarati,Hotels/Restaurants,Sikh,fake
Kashyap,M.Arch. (Architecture),Central Government,Don't wish to specify,Pushtu,Admin/Secretarial,Sikh,fake
Namasudra,Master of Fashion Technology,Public Sector,INR 30 lakhs to 40 lakhs,Badaga,Defence/Merchant Navy,Sikh,fake
Mukkulathor,PG Diploma,State Government,INR 50 lakhs and above,Gujarati,Legal,Sikh,fake
Thakkar,B.Pharm (Pharmacy),Public Sector,INR 50 lakhs and above,Oriya,Architecture/Design,Sikh,fake
Adi Andhra,Other Diploma,Private Sector,INR 30 lakhs to 40 lakhs,Sowrashtra,Purchase/Logistics/Supply chain,Sikh,fake
Ezhuthachan,BE B.Tech (Engineering),State Government,INR 50 thousand to 1 lakh,Bengali,Marketing and Communications,Sikh,fake
Sindhi-Larkana,Other School/Graduation,State Government,Don't wish to specify,Bengali,Government Employee,Sikh,fake
Saliya,Other Doctorate,Central Government,INR 25 lakhs to 30 lakhs,Tamil,Travel/Airlines,Sikh,fake
Shimpi,MA (Arts),Public Sector,INR 3 lakhs to 4 lakhs,Marathi,Travel/Airlines,Sikh,fake
Saliya,12th,Public Sector,INR 30 lakhs to 40 lakhs,Sowrashtra,Admin/Secretarial,Sikh,fake
"Koiri,Kushwaha,Maurya",BFA (Fine Arts),Central Government,INR 3 lakhs to 4 lakhs,Thadou kuki,Architecture/Design,Sikh,fake
Brahmin - Kashmiri Pandit,BFA (Fine Arts),Private Sector,INR 25 lakhs to 30 lakhs,Bihari,Government Employee,Sikh,fake
Gurjar,B.El.Ed (Elementary Education),Central Government,INR 30 lakhs to 40 lakhs,Manipuri,Education/Training,Sikh,fake
Ezhuthachan,MBA/PGDM,Central Government,INR 50 thousand to 1 lakh,Tulu,Legal,Sikh,fake
Billava,MDS (Master of Dental Surgery),Public Sector,INR Under 50 thousand,Sanskrit,Hotels/Restaurants,Sikh,fake
Brahmin,B.Ed (Education),Public Sector,INR 50 lakhs and above,Mizo,Construction,Sikh,fake
"Panchal,Suthar",M.Com. (Commerce),State Government,INR Under 50 thousand,Garhwali,Construction,Sikh,fake
Kharwar,ME/M.Tech/MS (Engg/Sciences),Private Sector,INR 25 lakhs to 30 lakhs,Magahi,Pharmaceutical/Biotechnology,Sikh,fake
Ediga,Integrated PG,Public Sector,INR 50 thousand to 1 lakh,Others,Health Care,Sikh,fake
Orthodox,B.Arch (Architecture),Central Government,INR 50 lakhs and above,Hindi,Education/Training,Sikh,fake
Brahmin - Telugu,BDS (Dental Surgery),State Government,INR 40 lakhs to 50 lakhs,Pushtu,Electronics,Sikh,fake
MahisyaSaurashtra,Integrated PG,Public Sector,INR 20 lakhs to 25 lakhs,Somali,Export/Import,Sikh,fake
Swakula Sali,M.Ed. (Education),Central Government,INR 3 lakhs to 4 lakhs,Oriya,Oil/Gas,Sikh,fake
Koshti,B.Sc (Science),State Government,INR 30 lakhs to 40 lakhs,Tulu,Oil/Gas,Sikh,fake
Sundhi,Bachelor of Fashion Technology,Public Sector,INR 30 lakhs to 40 lakhs,Arunachali,Pharmaceutical/Biotechnology,Sikh,fake
Karuneegar,Bachelor of Fashion Technology,Private Sector,INR 40 lakhs to 50 lakhs,Bengali,Manufacturing/Engineering/R&D,Sikh,fake
Besta,B.Pharm (Pharmacy),Central Government,INR 50 lakhs and above,Gujarati,Legal,Sikh,fake
Karuneegar,MSW (Social Work),Private Sector,INR 40 lakhs to 50 lakhs,Bhojpuri,Education/Training,Sikh,fake
Baniya,10th,Private Sector,INR 3 lakhs to 4 lakhs,Garo,Civil Services/Law Enforcement,Sikh,fake
Telaga,M.Ed. (Education),Public Sector,INR 30 lakhs to 40 lakhs,Gujarati,Human Resource,Sikh,fake
Catholic,12th,Central Government,INR 20 lakhs to 25 lakhs,Tamil,Defence/Management/Corporate Professionals,Sikh,fake
Devar/Thevar/Mukkulathor,BCA (Computer Application),Central Government,INR 50 thousand to 1 lakh,Bhojpuri,Merchant Navy,Sikh,fake
Brahmin - Goswami/Gosavi,Ph.D. (Doctorate),State Government,INR 50 thousand to 1 lakh,Konkani,Finance and Accounts,Sikh,fake
Ayyaraka,B.Com (Commerce),Public Sector,INR 20 lakhs to 25 lakhs,Garo,Finance and Accounts,Sikh,fake
Veera Saivam,BE B.Tech (Engineering),State Government,INR 20 lakhs to 25 lakhs,Hindi,Export/Import,Sikh,fake
Lodhi Rajput,10th,State Government,INR 50 thousand to 1 lakh,Kumoani,Defence/Management/Corporate Professionals,Sikh,fake
Brahmin - Bhumihar,MD/MS (Medicine),Central Government,INR 50 thousand to 1 lakh,Chatisgarhi,Purchase/Logistics/Supply chain,Sikh,fake
Brahmin - Pandit,M.Phil. (Philosophy),Private Sector,INR 25 lakhs to 30 lakhs,Coorgi,Agriculture,Sikh,fake
Mahishya,BFA (Fine Arts),State Government,INR 20 lakhs to 25 lakhs,Bengali,Government Employee,Sikh,fake
Parkava Kulam,M.Arch. (Architecture),Private Sector,INR 30 lakhs to 40 lakhs,Haryanvi,Hotels/Restaurants,Sikh,fake
Padmasali,B.Ed (Education),Public Sector,INR 50 lakhs and above,Kannada,Artists/Animators/Web Designers,Sikh,fake
Somvanshi,B.Com (Commerce),Private Sector,Don't wish to specify,Kumoani,Pharmaceutical/Biotechnology,Sikh,fake
Padmasali,MD/MS (Medicine),Public Sector,INR 3 lakhs to 4 lakhs,Haryanvi,Government Employee,Sikh,fake
Konkani,B.Pharm (Pharmacy),Central Government,INR 50 thousand to 1 lakh,Maithili,Government Employee,Sikh,fake
Saliya,MSW (Social Work),Private Sector,INR 20 lakhs to 25 lakhs,Lambani,Government Employee,Sikh,fake
Veluthedathu Nair,ME/M.Tech/MS (Engg/Sciences),State Government,INR 3 lakhs to 4 lakhs,Bhojpuri,Advertising/Entertainment/Media,Sikh,fake
Mudaliar,Arts/Graphic Designing,Central Government,INR 3 lakhs to 4 lakhs,Kannada,Oil/Gas,Sikh,fake
Konkani,BHM (Hotel Management),Private Sector,INR Under 50 thousand,Sanskrit,Defence/Merchant Navy,Sikh,fake
Lingayath,BBA/BBM/BBS,Private Sector,INR 3 lakhs to 4 lakhs,Himachali/Pahari,Banking/Insurance/Financial Services,Sikh,fake
Kapu Naidu,M.Sc. (Science),Public Sector,INR 3 lakhs to 4 lakhs,Sindhi,Architecture/Design,Sikh,fake
Dusadh (Paswan),CFA (Chartered Financial Analyst),Private Sector,INR 25 lakhs to 30 lakhs,Badaga,Defence/Management/Corporate Professionals,Sikh,fake
Intercaste,CFA (Chartered Financial Analyst),State Government,INR 3 lakhs to 4 lakhs,Bhojpuri,Government Employee,Sikh,fake
Raigar,MBA/PGDM,State Government,INR 25 lakhs to 30 lakhs,Garo,Legal,Sikh,fake
Sunni,BL/LLB/BGL (Law),Central Government,INR 20 lakhs to 25 lakhs,marwari,Business Owner/Entrepreneur,Sikh,fake
Mangalorean,BCA (Computer Application),State Government,INR Under 50 thousand,Santhali,Advertising/Entertainment/Media,Sikh,fake
Chettiar,CA (Chartered Accountant),Public Sector,INR 30 lakhs to 40 lakhs,Sindhi,Health Care,Sikh,fake
Brahmin - Gurukkal,B.Com (Commerce),Public Sector,INR 3 lakhs to 4 lakhs,Telugu,Artists/Animators/Web Designers,Sikh,fake
Brahmin - Kanyakubj,Master of Fashion Technology,Central Government,Don't wish to specify,Coorgi,Beauty/Fashion/Jewellery Designers,Sikh,fake
OBC/Barber/Naayee,BFA (Fine Arts),Private Sector,INR 20 lakhs to 25 lakhs,Lambani,IT,Sikh,fake
Kumbhar,B.Ed (Education),Private Sector,INR 3 lakhs to 4 lakhs,Maithili,Admin/Secretarial,Sikh,fake
Kamma,B.Pharm (Pharmacy),Private Sector,INR 25 lakhs to 30 lakhs,Badaga,Government Employee,Sikh,fake
Kapu Naidu,M.Phil. (Philosophy),Private Sector,INR 25 lakhs to 30 lakhs,Konkani,Pharmaceutical/Biotechnology,Sikh,fake
Mallah,Engineering,Central Government,INR 30 lakhs to 40 lakhs,Assamese,Government Employee,Sikh,fake
Mapila,B.Plan (Planning),Central Government,INR 30 lakhs to 40 lakhs,Gujarati,Manufacturing/Engineering/R&D,Sikh,fake
Brahmin - Niyogi,B.Plan (Planning),Private Sector,INR 25 lakhs to 30 lakhs,Bengali,Health Care,Sikh,fake
